
> chathistory@0.1.0 dev
> PORT=3002 next dev --turbopack

   ▲ Next.js 15.1.2 (Turbopack)
   - Local:        http://localhost:3002
   - Network:      http://51.38.123.53:3002

 ✓ Starting...
 ✓ Ready in 855ms
 ○ Compiling / ...
 ✓ Compiled / in 2.6s
 GET /api/twitch/badges/global 200 in 566ms
 GET /api/twitch/badges/global 200 in 574ms
 GET /api/twitch/user/2coyi 200 in 568ms
 GET /api/twitch/badges/global 200 in 605ms
 GET /api/twitch/badges/global 200 in 611ms
 GET /api/twitch/badges/global 200 in 612ms
 GET /api/twitch/badges/global 200 in 612ms
 GET /api/twitch/badges/global 200 in 616ms
 GET /api/twitch/user/pradasocken 200 in 616ms
 GET /api/twitch/badges/global 200 in 661ms
 GET /api/twitch/badges/global 200 in 665ms
 GET /api/twitch/badges/global 200 in 673ms
 GET /api/twitch/user/2coyi 200 in 689ms
 GET /api/twitch/badges/global 200 in 729ms
 GET /api/twitch/user/okayyfiona 200 in 730ms
 GET /api/twitch/user/okayyfiona 200 in 765ms
 GET /api/twitch/user/okayyfiona 200 in 795ms
 GET /api/twitch/badges/global 200 in 834ms
 GET /api/twitch/user/2coyi 200 in 834ms
 GET /api/twitch/user/2coyi 200 in 877ms
 GET /api/twitch/badges/global 200 in 915ms
 GET /api/twitch/user/okayyfiona 200 in 915ms
 GET /api/twitch/user/2coyi 200 in 954ms
 GET /api/twitch/user/stimmungschaos__ 200 in 989ms
 GET /api/twitch/user/okayyfiona 200 in 1024ms
 GET /api/twitch/user/rxndxm_person_ 200 in 1061ms
 GET /api/twitch/badges/global 200 in 1103ms
 GET /api/twitch/user/okayyfiona 200 in 1096ms
 GET /api/twitch/user/pradasocken 200 in 1130ms
 GET /api/twitch/user/2coyi 200 in 1184ms
 GET /api/twitch/badges/global 200 in 1237ms
 GET /api/twitch/badges/global 200 in 1005ms
 GET /api/twitch/badges/global 200 in 1011ms
 GET /api/twitch/badges/global 200 in 1015ms
 GET /api/twitch/user/2coyi 200 in 543ms
 GET /api/twitch/badges/global 200 in 1044ms
 GET /api/twitch/badges/global 200 in 1050ms
 GET /api/twitch/badges/global 200 in 661ms
 GET /api/twitch/badges/global 200 in 1057ms
 GET /api/twitch/user/rxndxm_person_ 200 in 608ms
 GET /api/twitch/user/okayyfiona 200 in 646ms
 GET /api/twitch/badges/global 200 in 1163ms
 GET /api/twitch/badges/global 200 in 766ms
 GET /api/twitch/user/okayyfiona 200 in 693ms
 GET /api/twitch/user/peepohappydevin 200 in 730ms
 GET /api/twitch/user/peepohappydevin 200 in 772ms
 GET /api/twitch/badges/global 200 in 1290ms
 GET /api/twitch/badges/global 200 in 1290ms
 GET /api/twitch/badges/global 200 in 1291ms
 GET /api/twitch/user/supibot 200 in 821ms
 GET /api/twitch/badges/global 200 in 1334ms
 GET /api/twitch/badges/global 200 in 1338ms
 GET /api/twitch/badges/global 200 in 1344ms
 GET /api/twitch/badges/global 200 in 1328ms
 GET /api/twitch/badges/global 200 in 940ms
 GET /api/twitch/user/okayyfiona 200 in 874ms
 GET /api/twitch/badges/global 200 in 985ms
 GET /api/twitch/badges/global 200 in 1396ms
 GET /api/twitch/user/peepohappydevin 200 in 919ms
 GET /api/twitch/user/okayyfiona 200 in 950ms
 GET /api/twitch/user/stimmungschaos__ 200 in 987ms
 GET /api/twitch/user/peepohappydevin 200 in 1024ms
 GET /api/twitch/user/rxndxm_person_ 200 in 1060ms
 GET /api/twitch/badges/global 200 in 1573ms
 GET /api/twitch/badges/global 200 in 1576ms
 GET /api/twitch/user/okayyfiona 200 in 1103ms
 GET /api/twitch/user/rxndxm_person_ 200 in 1135ms
 GET /api/twitch/user/rxndxm_person_ 200 in 1170ms
 GET /api/twitch/badges/global 200 in 1669ms
 GET /api/twitch/badges/global 200 in 1672ms
 GET /api/twitch/user/rxndxm_person_ 200 in 1208ms
 GET /api/twitch/user/okayyfiona 200 in 1245ms
 GET /api/twitch/user/peepohappydevin 200 in 1298ms
 GET /api/twitch/badges/global 200 in 1812ms
 GET /api/twitch/badges/global 200 in 1821ms
 GET /api/twitch/badges/global 200 in 1806ms
 GET /api/twitch/badges/global 200 in 1834ms
 GET /api/twitch/badges/global 200 in 1837ms
 GET /api/twitch/badges/global 200 in 1847ms
 GET /api/twitch/badges/global 200 in 1280ms
 GET /api/twitch/badges/global 200 in 1284ms
 GET /api/twitch/user/okayyfiona 200 in 1317ms
 GET /api/twitch/user/2coyi 200 in 1353ms
 GET /api/twitch/user/2coyi 200 in 1395ms
 GET /api/twitch/badges/global 200 in 1406ms
 GET /api/twitch/badges/global 200 in 1408ms
 GET /api/twitch/user/okayyfiona 200 in 1464ms
 GET /api/twitch/user/2coyi 200 in 1503ms
 GET /api/twitch/user/2ole_ 200 in 1527ms
 GET /api/twitch/user/okayyfiona 200 in 1579ms
 GET /api/twitch/user/2coyi 200 in 1616ms
 GET /api/twitch/badges/global 200 in 1605ms
 GET /api/twitch/badges/global 200 in 1619ms
 GET /api/twitch/user/2coyi 200 in 1660ms
 GET /api/twitch/badges/global 200 in 1662ms
 GET /api/twitch/badges/global 200 in 1657ms
 GET /api/twitch/user/2coyi 200 in 1711ms
 GET /api/twitch/badges/global 200 in 1699ms
 GET /api/twitch/badges/global 200 in 1716ms
 GET /api/twitch/user/okayyfiona 200 in 1740ms
 GET /api/twitch/user/okayyfiona 200 in 1791ms
 GET /api/twitch/badges/global 200 in 1779ms
 GET /api/twitch/badges/global 200 in 1784ms
 GET /api/twitch/badges/global 200 in 1786ms
 GET /api/twitch/user/2coyi 200 in 1818ms
 GET /api/twitch/badges/global 200 in 1823ms
 GET /api/twitch/badges/global 200 in 1828ms
 GET /api/twitch/user/pradasocken 200 in 1883ms
 GET /api/twitch/user/pradasocken 200 in 1924ms
 GET /api/twitch/user/okayyfiona 200 in 1962ms
 GET /api/twitch/user/2coyi 200 in 1990ms
 GET /api/twitch/user/okayyfiona 200 in 2017ms
